Squid Game,2021,"Action, Drama, Mystery",TV-MA,55 ,8
CODA,2021,"Comedy, Drama, Music",PG-13,111 ,8
Friends: The Reunion,2021,"Documentary, Biography, Comedy",TV-14,104 ,8
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,"Documentary, Music",PG-13,118 ,8
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",R,242 ,7.9
WandaVision,2021,"Action, Comedy, Drama",TV-PG,350 ,7.9
Flee,2021,"Documentary, Animation, Biography",PG-13,89 ,7.9
Star Wars: The Bad Batch,20212024,"Animation, Action, Adventure",TV-PG,30 ,7.8
Mimi,2021,"Comedy, Drama",TV-14,132 ,7.8
The Velvet Queen,2021,"Documentary, Adventure",N/A,92 ,7.8
Joji,2021,"Crime, Drama",N/A,113 ,7.8
P!nk: All I Know So Far,2021,"Documentary, Biography, Music",TV-14,99 ,7.8
The Worst Person in the World,2021,"Comedy, Drama, Romance",R,128 ,7.7
Alice in Borderland,2020,"Action, Drama, Mystery",TV-MA,50 ,7.7
Sweet Tooth,2021,"Action, Adventure, Drama",TV-14,50 ,7.7
Marcel the Shell with Shoes On,2021,"Animation, Comedy, Drama",PG,90 ,7.7
Cosas imposibles,2021,Drama,N/A,89 ,7.7
Chintu Ka Birthday,2020,"Comedy, Drama, War",N/A,80 ,7.7
The Mitchells vs the Machines,2021,"Animation, Action, Adventure",PG,114 ,7.6
The Serpent,2021,"Crime, Drama, Thriller",TV-MA,458 ,7.6
Mass,2021,Drama,PG-13,111 ,7.6
Lupin,2021,"Action, Crime, Drama",TV-MA,45 ,7.5
Shadow and Bone,20212023,"Action, Adventure, Drama",TV-14,60 ,7.5
Hawkeye,2021,"Action, Adventure, Crime",TV-14,339 ,7.5
King Richard,2021,"Biography, Drama, Sport",PG-13,144 ,7.5
The Mauritanian,2021,"Biography, Crime, Drama",R,129 ,7.5
Drive My Car,2021,Drama,Unrated,179 ,7.5
Boiling Point,2021,"Drama, Thriller",R,92 ,7.5
Halston,2021,"Biography, Drama",TV-MA,240 ,7.5
Great Freedom,2021,Drama,Unrated,116 ,7.5
Attica,2021,"Documentary, History",TV-MA,116 ,7.5
My Lovely Angel,2021,Drama,N/A,100 ,7.5
The Last Duel,2021,"Action, Drama, History",R,152 ,7.4
Nobody,2021,"Action, Crime, Drama",R,92 ,7.4
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",PG-13,132 ,7.4
Luca,2021,"Animation, Adventure, Comedy",PG,95 ,7.4
Them,2021,"Drama, Horror, Thriller",TV-MA,45 ,7.4
Judas and the Black Messiah,2021,"Biography, Drama, History",R,126 ,7.4
C'mon C'mon,2021,Drama,R,109 ,7.4
Happening,2021,Drama,R,100 ,7.4
Vortex,2021,Drama,N/A,142 ,7.4
